source,target,distance
0,1,0.1616842105263158
1,0,0.1616842105263158
1,2,0.1616842105263158
2,1,0.1616842105263158
2,3,0.1616842105263158
3,2,0.1616842105263158
3,4,0.1616842105263158
4,3,0.1616842105263158
4,5,0.1616842105263158
5,4,0.1616842105263158
5,6,0.1616842105263158
6,5,0.1616842105263158
6,7,0.1616842105263158
7,6,0.1616842105263158
7,8,0.1616842105263158
8,7,0.1616842105263158
8,9,0.1616842105263158
9,8,0.1616842105263158
9,10,0.1616842105263158
10,9,0.1616842105263158
10,11,0.1616842105263158
11,10,0.1616842105263158
11,12,0.1616842105263158
12,11,0.1616842105263158
12,13,0.1616842105263158
13,12,0.1616842105263158
13,14,0.1616842105263158
14,13,0.1616842105263158
14,15,0.1616842105263158
15,14,0.1616842105263158
15,16,0.1616842105263158
16,15,0.1616842105263158
16,17,0.1616842105263158
17,16,0.1616842105263158
17,18,0.1616842105263158
18,17,0.1616842105263158
18,19,0.1616842105263158
19,18,0.1616842105263158
